L100, D100
-0.000374624, -0.000127142
-0.000305463, 0.000122474
-0.000228686, -0.000245061
-4.01357e-05, -0.000250651
-0.000383862, 6.04437e-05
-0.00012641, 0.000111229
-0.000287868, -0.00010437
-0.000155155, 0.000262653
0.000354741, -0.000255826
-0.000555697, -5.24756e-05
3.35853e-06, 9.77836e-05
7.54465e-05, 8.96513e-05
4.19853e-05, -0.000427465
-0.00104281, -0.000286972
-0.00027384, 2.04592e-06
-7.6618e-05, 1.61677e-05
-0.000814903, 0.000377236
-0.000935757, -0.000174723
-0.000204414, -3.57105e-05
-0.000565163, 0.000277987
-0.000559826, -0.000106334
-0.000428826, 1.37907e-05
2.88769e-05, -0.000395103
-0.00037253, -8.04296e-05
0.000108912, -0.000192802
-0.000388344, -4.45409e-05
-0.00101727, -0.000256657
-0.00066849, 0.000927983
-0.000140235, -1.7173e-05
-0.000426232, 1.90811e-05
1.02975e-05, 0.000226586
-0.000107199, -1.95239e-05
0.00042183, -0.00065179
-0.000829144, -7.57084e-05
-0.000105036, 0.000107495
-5.7465e-06, -9.6116e-05
-9.14574e-05, -1.65197e-05
-4.74782e-05, -0.000326532
-0.00103146, -1.13721e-05
0.000132607, 6.56865e-05
-0.000106608, 0.000267955
0.000351723, -0.000449136
-6.0397e-05, -0.000321505
-0.000318993, -2.80806e-05
-0.00104932, 0.000205566
0.000114306, 0.00012862
-0.000403815, -9.02686e-05
-0.00176855, -0.00031804
-0.000400987, 6.92434e-05
-0.000392388, 0.000175126
-0.000784579, 7.35202e-05
-0.000150503, -2.36206e-06
-7.43203e-05, 2.03045e-05
-0.000105871, -0.000171897
-9.2016e-06, -0.000150422
4.49755e-05, 8.64752e-05
2.39145e-06, 0.000582916
-0.000327397, -0.00019108
-0.000121274, 0.000140469
-7.3881e-05, 3.8996e-05
-0.00101392, -0.000204211
-0.000159611, -0.000309058
9.09398e-05, 0.000124473
-9.56346e-05, 0.000100717
-4.53827e-05, 0.000134489
-7.50439e-06, 0.000204711
-2.28909e-05, -0.000133619
-0.000253646, 4.10896e-05
-0.000917217, 0.00017169
4.60698e-05, -7.89921e-05
-6.93973e-05, 0.000125042
-0.000257672, -0.000143062
-0.000157591, 1.5991e-05
6.26522e-05, 0.000214414
-3.89731e-05, -0.000937135
-0.000190965, -1.2311e-05
-0.00092805, 0.000418945
-0.000443389, -0.000118458
-0.000394217, -1.49324e-05
-0.000392245, 0.000100066
1.9985e-05, 0.000330216
-0.000916432, -0.000377253
-8.06443e-05, -0.000434989
-0.000286716, -7.91995e-05
-0.000993103, -0.00040622
-0.000136443, 0.000290754
-0.000505597, -0.00012552
-0.000354496, -0.000138341
2.17534e-05, -8.64491e-05
-0.000244987, 2.89127e-05
-0.000355538, 0.000151964
-0.000785925, -0.000290577
-0.000135665, -2.31034e-05
-0.000277714, 9.76387e-06
-5.42688e-05, 4.22762e-05
-1.22797e-05, 4.61012e-06
-0.00034479, 1.82377e-05
-0.000932942, -3.53299e-05
8.49907e-05, 0.000172832
-0.000423942, 2.59795e-05
-0.000142013, -4.40751e-05
-0.000152719, 0.000122665
-0.000115345, -0.000121114
-0.000682256, 0.000440333
-0.000386459, -9.30425e-05
-0.00017571, 0.000264179
-5.25119e-05, -5.48731e-05
-0.000954655, -0.000301298
-0.000368654, -5.64133e-05
-0.000113593, -5.88088e-05
-0.000360415, -4.11556e-05
-0.000335997, -0.00015778
-0.00058722, -0.00023013
-0.000985468, -0.000365726
-0.000235604, -4.60027e-05
-0.000135332, -1.07903e-05
-0.00103812, -0.000248827
-6.79116e-06, 0.000204606
-0.000122648, -0.000321577
-9.03888e-05, -4.77197e-06
-0.000159747, 8.67707e-06
-0.000278198, 0.000139051
-0.000134687, 5.60647e-05
-0.000931511, 0.000288712
-0.000154121, -3.99853e-05
-0.000207511, -4.65233e-05
-0.000110893, -9.7978e-06
0.000123093, 8.47852e-05
-0.000345502, -9.58412e-05
0.000189103, 0.000237651
-5.58876e-05, -2.38828e-06
-0.000130022, 4.15711e-05
-0.000280818, -0.000349958
-0.000327143, -9.48993e-05
7.98263e-05, -0.000195749
-8.53643e-06, -0.000273386
-3.66893e-05, 2.13876e-05
0.000127239, 2.58802e-05
-7.27285e-05, -2.61891e-05
-0.000101234, 2.88455e-05
-0.00108968, -0.00025407
2.85772e-05, -0.000235235
